episode,evader_speed,success,num_caught,chase_time,getaway_time
1,0.33,0,2,-1,348
2,0.33,0,2,-1,351
3,0.33,1,3,556,-1
4,0.33,0,2,-1,645
5,0.33,1,3,324,-1
6,0.33,0,2,-1,1599
7,0.33,1,3,143,-1
8,0.33,0,1,-1,251
9,0.33,1,3,448,-1
10,0.33,0,2,-1,1590
11,0.33,1,3,359,-1
12,0.33,1,3,1289,-1
13,0.33,1,3,1007,-1
14,0.33,0,2,-1,1048
15,0.33,1,3,263,-1
16,0.33,0,2,-1,769
17,0.33,0,1,-1,190
18,0.33,0,2,-1,360
19,0.33,1,3,704,-1
20,0.33,0,2,-1,345
21,0.33,0,1,-1,175
22,0.33,1,3,276,-1
23,0.33,0,2,-1,1599
24,0.33,0,2,-1,1599
25,0.33,1,3,217,-1
26,0.33,0,1,-1,190
27,0.33,0,1,-1,1599
28,0.33,0,2,-1,1599
29,0.33,0,2,-1,536
30,0.33,0,1,-1,303
31,0.33,0,1,-1,215
32,0.33,1,3,434,-1
33,0.33,1,3,204,-1
34,0.33,1,3,274,-1
35,0.33,1,3,152,-1
36,0.33,1,3,471,-1
37,0.33,0,1,-1,342
38,0.33,0,2,-1,439
39,0.33,1,3,643,-1
40,0.33,1,3,978,-1
41,0.33,0,1,-1,199
42,0.33,1,3,270,-1
43,0.33,1,3,1380,-1
44,0.33,0,2,-1,309
45,0.33,1,3,950,-1
46,0.33,0,2,-1,1599
47,0.33,1,3,375,-1
48,0.33,1,3,1561,-1
49,0.33,0,2,-1,939
50,0.33,0,2,-1,1599
1,0.5,1,3,535,-1
2,0.5,0,2,-1,1599
3,0.5,0,2,-1,933
4,0.5,0,2,-1,1599
5,0.5,0,1,-1,1599
6,0.5,0,1,-1,125
7,0.5,0,1,-1,1599
8,0.5,0,1,-1,1599
9,0.5,1,3,197,-1
10,0.5,0,2,-1,353
11,0.5,0,1,-1,141
12,0.5,0,1,-1,165
13,0.5,0,1,-1,195
14,0.5,0,2,-1,1599
15,0.5,0,2,-1,351
16,0.5,0,1,-1,235
17,0.5,0,1,-1,131
18,0.5,0,1,-1,215
19,0.5,0,2,-1,259
20,0.5,0,1,-1,1599
21,0.5,1,3,187,-1
22,0.5,0,0,-1,151
23,0.5,0,1,-1,1599
24,0.5,0,2,-1,265
25,0.5,0,1,-1,1599
26,0.5,0,1,-1,191
27,0.5,0,1,-1,141
28,0.5,0,1,-1,221
29,0.5,1,3,1313,-1
30,0.5,0,1,-1,225
31,0.5,0,0,-1,125
32,0.5,0,1,-1,151
33,0.5,0,2,-1,353
34,0.5,0,2,-1,1599
35,0.5,0,2,-1,981
36,0.5,0,0,-1,141
37,0.5,1,3,206,-1
38,0.5,0,1,-1,201
39,0.5,1,3,335,-1
40,0.5,1,3,919,-1
41,0.5,0,1,-1,1599
42,0.5,0,2,-1,581
43,0.5,0,1,-1,1599
44,0.5,0,1,-1,175
45,0.5,1,3,388,-1
46,0.5,0,2,-1,1599
47,0.5,0,2,-1,311
48,0.5,0,1,-1,217
49,0.5,0,0,-1,125
50,0.5,0,1,-1,165
1,0.75,1,3,681,-1
2,0.75,1,3,155,-1
3,0.75,0,0,-1,130
4,0.75,0,1,-1,127
5,0.75,0,1,-1,138
6,0.75,0,1,-1,158
7,0.75,0,1,-1,94
8,0.75,0,1,-1,101
9,0.75,0,2,-1,238
11,0.75,0,2,-1,1301
12,0.75,0,2,-1,1599
13,0.75,0,0,-1,127
14,0.75,0,1,-1,110
15,0.75,0,2,-1,1599
16,0.75,0,1,-1,114
17,0.75,0,1,-1,1599
18,0.75,0,1,-1,133
19,0.75,1,3,137,-1
20,0.75,0,0,-1,127
21,0.75,0,0,-1,83
22,0.75,0,1,-1,130
23,0.75,0,2,-1,227
24,0.75,0,1,-1,1599
25,0.75,0,2,-1,359
26,0.75,0,0,-1,94
27,0.75,1,3,588,-1
28,0.75,0,1,-1,655
29,0.75,0,0,-1,83
30,0.75,0,0,-1,151
31,0.75,1,3,221,-1
32,0.75,1,3,331,-1
33,0.75,1,3,680,-1
34,0.75,0,1,-1,149
35,0.75,0,1,-1,153
36,0.75,0,2,-1,1599
37,0.75,0,1,-1,130
38,0.75,0,1,-1,126
39,0.75,1,3,524,-1
40,0.75,0,2,-1,287
41,0.75,1,3,277,-1
42,0.75,0,1,-1,153
43,0.75,1,3,469,-1
44,0.75,0,1,-1,374
45,0.75,0,1,-1,1599
46,0.75,0,0,-1,145
47,0.75,0,1,-1,83
48,0.75,0,0,-1,127
49,0.75,0,2,-1,546
50,0.75,1,3,84,-1
1,0.9,0,0,-1,108
2,0.9,0,1,-1,662
3,0.9,0,1,-1,95
4,0.9,0,1,-1,70
5,0.9,0,2,-1,192
6,0.9,0,1,-1,78
7,0.9,0,0,-1,64
8,0.9,0,1,-1,128
9,0.9,0,2,-1,147
10,0.9,0,1,-1,160
11,0.9,0,0,-1,70
12,0.9,0,1,-1,106
13,0.9,1,3,1079,-1
14,0.9,0,1,-1,1599
15,0.9,1,3,586,-1
16,0.9,1,3,1014,-1
17,0.9,1,3,1238,-1
18,0.9,0,2,-1,193
19,0.9,0,1,-1,657
20,0.9,0,2,-1,1599
21,0.9,0,0,-1,97
22,0.9,0,1,-1,146
23,0.9,0,0,-1,64
24,0.9,0,2,-1,164
25,0.9,0,0,-1,97
26,0.9,0,2,-1,674
27,0.9,0,1,-1,70
28,0.9,1,3,217,-1
29,0.9,0,2,-1,487
30,0.9,0,1,-1,1599
31,0.9,0,1,-1,78
32,0.9,0,1,-1,78
33,0.9,0,1,-1,128
34,0.9,0,0,-1,106
35,0.9,1,3,1009,-1
36,0.9,0,1,-1,106
37,0.9,1,3,69,-1
38,0.9,1,3,1577,-1
39,0.9,0,0,-1,126
40,0.9,0,1,-1,135
41,0.9,0,1,-1,1599
42,0.9,0,1,-1,1599
43,0.9,0,0,-1,64
44,0.9,0,0,-1,92
45,0.9,0,0,-1,70
46,0.9,0,0,-1,64
47,0.9,0,1,-1,106
48,0.9,0,1,-1,112
49,0.9,0,0,-1,84
50,0.9,0,1,-1,168
1,1.0,0,1,-1,116
2,1.0,0,1,-1,230
3,1.0,0,1,-1,62
4,1.0,0,1,-1,97
5,1.0,0,1,-1,57
6,1.0,0,1,-1,207
7,1.0,0,0,-1,62
8,1.0,0,1,-1,62
9,1.0,1,3,734,-1
10,1.0,0,0,-1,70
11,1.0,0,1,-1,62
12,1.0,1,3,499,-1
13,1.0,0,0,-1,85
14,1.0,1,3,311,-1
15,1.0,0,1,-1,75
16,1.0,0,0,-1,87
17,1.0,0,1,-1,1599
18,1.0,0,2,-1,104
19,1.0,0,1,-1,87
20,1.0,0,0,-1,62
21,1.0,0,1,-1,62
22,1.0,0,1,-1,108
23,1.0,0,1,-1,57
24,1.0,0,1,-1,62
25,1.0,0,1,-1,85
26,1.0,1,3,199,-1
27,1.0,0,0,-1,57
28,1.0,0,1,-1,108
29,1.0,0,0,-1,95
30,1.0,0,1,-1,87
31,1.0,0,0,-1,82
32,1.0,0,1,-1,57
33,1.0,0,1,-1,88
34,1.0,0,1,-1,87
35,1.0,0,0,-1,70
36,1.0,0,2,-1,161
37,1.0,0,0,-1,65
38,1.0,1,3,134,-1
39,1.0,0,2,-1,187
40,1.0,0,2,-1,1599
41,1.0,0,2,-1,97
42,1.0,0,0,-1,95
43,1.0,0,0,-1,70
44,1.0,0,0,-1,62
45,1.0,0,1,-1,65
46,1.0,0,1,-1,70
47,1.0,0,0,-1,97
48,1.0,0,0,-1,113
49,1.0,0,1,-1,82
50,1.0,1,3,226,-1
