episode,evader_speed,success,num_caught,chase_time,getaway_time
1,0.33,1,3,90,-1
2,0.33,1,3,90,-1
3,0.33,1,3,61,-1
4,0.33,1,3,76,-1
5,0.33,1,3,96,-1
6,0.33,1,3,158,-1
7,0.33,1,3,61,-1
8,0.33,1,3,119,-1
9,0.33,1,3,78,-1
10,0.33,1,3,119,-1
11,0.33,1,3,90,-1
12,0.33,1,3,96,-1
13,0.33,1,3,76,-1
14,0.33,1,3,167,-1
15,0.33,1,3,113,-1
16,0.33,1,3,167,-1
17,0.33,1,3,116,-1
18,0.33,1,3,167,-1
19,0.33,1,3,119,-1
20,0.33,1,3,61,-1
21,0.33,1,3,113,-1
22,0.33,1,3,103,-1
23,0.33,1,3,61,-1
24,0.33,1,3,158,-1
25,0.33,1,3,103,-1
26,0.33,1,3,94,-1
27,0.33,1,3,64,-1
28,0.33,1,3,90,-1
29,0.33,1,3,158,-1
30,0.33,1,3,96,-1
31,0.33,1,3,94,-1
32,0.33,1,3,90,-1
33,0.33,1,3,113,-1
34,0.33,1,3,61,-1
35,0.33,1,3,119,-1
36,0.33,1,3,64,-1
37,0.33,1,3,90,-1
38,0.33,1,3,113,-1
39,0.33,1,3,113,-1
40,0.33,1,3,61,-1
41,0.33,1,3,113,-1
42,0.33,1,3,158,-1
43,0.33,1,3,119,-1
44,0.33,1,3,61,-1
45,0.33,1,3,78,-1
46,0.33,1,3,52,-1
47,0.33,1,3,167,-1
48,0.33,1,3,52,-1
49,0.33,1,3,90,-1
50,0.33,1,3,52,-1
1,0.5,1,3,88,-1
2,0.5,1,3,124,-1
3,0.5,1,3,124,-1
4,0.5,1,3,92,-1
5,0.5,1,3,43,-1
6,0.5,1,3,60,-1
7,0.5,1,3,60,-1
8,0.5,1,3,92,-1
9,0.5,1,3,92,-1
10,0.5,1,3,92,-1
11,0.5,1,3,89,-1
12,0.5,1,3,90,-1
13,0.5,1,3,128,-1
14,0.5,1,3,92,-1
15,0.5,1,3,88,-1
16,0.5,1,3,88,-1
17,0.5,1,3,128,-1
18,0.5,1,3,88,-1
19,0.5,1,3,92,-1
20,0.5,1,3,174,-1
21,0.5,1,3,43,-1
22,0.5,1,3,43,-1
23,0.5,1,3,88,-1
24,0.5,1,3,174,-1
25,0.5,1,3,53,-1
26,0.5,1,3,88,-1
27,0.5,1,3,90,-1
28,0.5,1,3,120,-1
29,0.5,1,3,90,-1
30,0.5,1,3,174,-1
31,0.5,1,3,88,-1
32,0.5,1,3,90,-1
33,0.5,1,3,43,-1
34,0.5,1,3,43,-1
35,0.5,1,3,88,-1
36,0.5,1,3,120,-1
37,0.5,1,3,124,-1
38,0.5,1,3,128,-1
39,0.5,1,3,124,-1
40,0.5,1,3,60,-1
41,0.5,1,3,92,-1
42,0.5,1,3,43,-1
43,0.5,1,3,128,-1
44,0.5,1,3,128,-1
45,0.5,1,3,128,-1
46,0.5,1,3,88,-1
47,0.5,1,3,53,-1
48,0.5,1,3,90,-1
49,0.5,1,3,88,-1
50,0.5,1,3,90,-1
1,0.75,1,3,66,-1
2,0.75,0,0,-1,83
3,0.75,0,2,-1,111
4,0.75,0,2,-1,111
5,0.75,1,3,66,-1
6,0.75,0,0,-1,83
7,0.75,1,3,122,-1
8,0.75,1,3,104,-1
9,0.75,1,3,122,-1
10,0.75,0,0,-1,83
11,0.75,0,0,-1,77
12,0.75,1,3,70,-1
13,0.75,1,3,102,-1
14,0.75,0,2,-1,111
15,0.75,1,3,102,-1
16,0.75,1,3,122,-1
17,0.75,1,3,70,-1
18,0.75,1,3,122,-1
19,0.75,1,3,213,-1
20,0.75,1,3,72,-1
21,0.75,1,3,99,-1
22,0.75,1,3,122,-1
23,0.75,0,0,-1,83
24,0.75,1,3,70,-1
25,0.75,1,3,115,-1
26,0.75,0,2,-1,111
27,0.75,0,0,-1,83
28,0.75,1,3,102,-1
29,0.75,0,0,-1,77
30,0.75,0,0,-1,83
31,0.75,1,3,70,-1
32,0.75,1,3,213,-1
33,0.75,1,3,66,-1
34,0.75,1,3,66,-1
35,0.75,1,3,213,-1
36,0.75,1,3,122,-1
37,0.75,0,0,-1,83
38,0.75,1,3,113,-1
39,0.75,1,3,66,-1
40,0.75,1,3,120,-1
41,0.75,1,3,72,-1
42,0.75,1,3,213,-1
43,0.75,1,3,102,-1
44,0.75,1,3,115,-1
45,0.75,1,3,99,-1
46,0.75,1,3,99,-1
47,0.75,1,3,99,-1
48,0.75,1,3,113,-1
49,0.75,1,3,115,-1
50,0.75,1,3,120,-1
1,0.9,1,3,71,-1
2,0.9,0,0,-1,73
3,0.9,1,3,100,-1
4,0.9,0,0,-1,64
5,0.9,1,3,90,-1
6,0.9,1,3,71,-1
7,0.9,1,3,68,-1
8,0.9,0,0,-1,73
9,0.9,0,0,-1,70
10,0.9,0,0,-1,73
11,0.9,0,0,-1,64
12,0.9,0,0,-1,64
13,0.9,1,3,100,-1
14,0.9,1,3,100,-1
