episode,evader_speed,success,num_caught,chase_time,getaway_time
1,0.33,0,1,-1,190
2,0.33,1,3,463,-1
3,0.33,0,1,-1,1599
4,0.33,0,2,-1,860
5,0.33,0,2,-1,499
6,0.33,0,2,-1,812
7,0.33,1,3,493,-1
8,0.33,1,3,1462,-1
9,0.33,0,1,-1,175
10,0.33,0,1,-1,312
11,0.33,0,1,-1,1599
12,0.33,0,2,-1,478
13,0.33,0,2,-1,1599
14,0.33,0,2,-1,1599
15,0.33,0,1,-1,1599
16,0.33,1,3,411,-1
17,0.33,1,3,1581,-1
18,0.33,0,1,-1,351
19,0.33,0,1,-1,1599
20,0.33,1,3,1471,-1
21,0.33,1,3,821,-1
22,0.33,0,1,-1,215
23,0.33,0,1,-1,199
24,0.33,0,1,-1,1599
25,0.33,0,2,-1,1599
26,0.33,0,1,-1,1599
27,0.33,0,1,-1,315
28,0.33,1,3,273,-1
29,0.33,0,1,-1,1599
30,0.33,1,3,188,-1
31,0.33,0,2,-1,393
32,0.33,0,1,-1,1599
33,0.33,0,2,-1,1599
34,0.33,1,3,339,-1
35,0.33,0,1,-1,290
36,0.33,0,1,-1,266
37,0.33,1,3,220,-1
38,0.33,0,1,-1,230
39,0.33,0,1,-1,1599
40,0.33,1,3,378,-1
41,0.33,0,2,-1,1599
42,0.33,1,3,369,-1
43,0.33,1,3,232,-1
44,0.33,0,2,-1,681
45,0.33,0,1,-1,1599
46,0.33,0,1,-1,360
47,0.33,0,2,-1,318
48,0.33,0,2,-1,678
49,0.33,1,3,446,-1
50,0.33,0,1,-1,1599
1,0.5,0,1,-1,175
2,0.5,0,2,-1,385
3,0.5,0,1,-1,141
4,0.5,0,2,-1,395
5,0.5,1,3,1150,-1
6,0.5,0,1,-1,1599
7,0.5,1,3,310,-1
8,0.5,0,0,-1,125
9,0.5,1,3,1567,-1
10,0.5,0,0,-1,131
11,0.5,0,1,-1,253
12,0.5,0,1,-1,167
13,0.5,0,2,-1,583
14,0.5,0,2,-1,555
15,0.5,1,3,182,-1
16,0.5,1,3,857,-1
17,0.5,0,2,-1,691
18,0.5,0,1,-1,211
19,0.5,0,2,-1,1599
20,0.5,1,3,1233,-1
21,0.5,0,2,-1,335
22,0.5,0,1,-1,1599
23,0.5,0,1,-1,1599
24,0.5,0,0,-1,125
25,0.5,0,1,-1,131
26,0.5,0,2,-1,275
27,0.5,0,2,-1,191
28,0.5,0,2,-1,353
29,0.5,0,2,-1,315
30,0.5,0,2,-1,357
31,0.5,0,1,-1,1599
32,0.5,1,3,450,-1
33,0.5,0,1,-1,275
34,0.5,0,2,-1,1599
35,0.5,0,1,-1,1599
36,0.5,1,3,333,-1
37,0.5,0,0,-1,165
38,0.5,0,2,-1,355
39,0.5,0,0,-1,201
40,0.5,1,3,252,-1
41,0.5,0,0,-1,141
42,0.5,1,3,179,-1
43,0.5,0,2,-1,1599
44,0.5,0,1,-1,1599
45,0.5,1,3,886,-1
46,0.5,0,1,-1,1599
47,0.5,0,2,-1,1599
48,0.5,0,1,-1,243
49,0.5,0,0,-1,165
50,0.5,0,1,-1,1599
1,0.75,0,1,-1,181
2,0.75,0,1,-1,162
3,0.75,0,1,-1,107
4,0.75,0,0,-1,87
5,0.75,0,1,-1,1599
6,0.75,0,0,-1,127
7,0.75,1,3,180,-1
8,0.75,0,1,-1,1599
9,0.75,0,0,-1,130
10,0.75,0,1,-1,1599
11,0.75,0,1,-1,1599
12,0.75,0,0,-1,94
13,0.75,0,2,-1,202
