episode,evader_speed,success,num_caught,chase_time,getaway_time
1,0.33,0,2,-1,1599
2,0.33,1,3,592,-1
3,0.33,1,3,630,-1
4,0.33,1,3,555,-1
5,0.33,0,2,-1,1599
6,0.33,1,3,660,-1
7,0.33,1,3,592,-1
8,0.33,1,3,486,-1
9,0.33,1,3,489,-1
10,0.33,1,3,592,-1
11,0.33,1,3,660,-1
12,0.33,0,2,-1,1599
13,0.33,1,3,660,-1
14,0.33,1,3,555,-1
15,0.33,0,2,-1,1599
16,0.33,1,3,555,-1
17,0.33,0,2,-1,1599
18,0.33,0,2,-1,1599
19,0.33,0,2,-1,1599
20,0.33,0,2,-1,1599
21,0.33,1,3,486,-1
22,0.33,1,3,660,-1
23,0.33,1,3,486,-1
24,0.33,1,3,660,-1
25,0.33,0,2,-1,1599
26,0.33,0,2,-1,1599
27,0.33,0,2,-1,1599
28,0.33,0,2,-1,1599
29,0.33,0,2,-1,1599
30,0.33,0,2,-1,1599
31,0.33,1,3,592,-1
32,0.33,0,2,-1,1599
33,0.33,0,2,-1,1599
34,0.33,0,2,-1,1599
35,0.33,0,2,-1,1599
36,0.33,1,3,486,-1
37,0.33,1,3,555,-1
38,0.33,0,2,-1,1599
39,0.33,1,3,489,-1
40,0.33,0,2,-1,1599
41,0.33,1,3,489,-1
42,0.33,1,3,489,-1
43,0.33,1,3,630,-1
44,0.33,1,3,208,-1
45,0.33,1,3,660,-1
46,0.33,0,2,-1,1599
47,0.33,0,2,-1,1599
48,0.33,0,2,-1,1599
49,0.33,1,3,208,-1
50,0.33,0,2,-1,1599
1,0.5,1,3,499,-1
2,0.5,1,3,490,-1
3,0.5,0,2,-1,1599
4,0.5,1,3,336,-1
5,0.5,1,3,487,-1
6,0.5,1,3,555,-1
7,0.5,1,3,1326,-1
8,0.5,1,3,499,-1
9,0.5,1,3,336,-1
10,0.5,1,3,1326,-1
11,0.5,1,3,321,-1
12,0.5,1,3,499,-1
13,0.5,0,2,-1,1599
14,0.5,1,3,462,-1
15,0.5,1,3,555,-1
16,0.5,0,1,-1,645
17,0.5,1,3,321,-1
18,0.5,0,1,-1,645
19,0.5,0,1,-1,645
20,0.5,0,1,-1,645
21,0.5,1,3,462,-1
22,0.5,1,3,487,-1
23,0.5,1,3,490,-1
24,0.5,0,1,-1,645
25,0.5,0,2,-1,1599
26,0.5,0,2,-1,1599
27,0.5,0,1,-1,645
28,0.5,1,3,499,-1
29,0.5,0,1,-1,645
30,0.5,1,3,321,-1
31,0.5,0,2,-1,1599
32,0.5,1,3,1326,-1
33,0.5,0,1,-1,645
34,0.5,1,3,462,-1
35,0.5,1,3,499,-1
36,0.5,0,1,-1,645
37,0.5,0,2,-1,1599
38,0.5,0,2,-1,1599
39,0.5,0,2,-1,1599
40,0.5,0,1,-1,645
41,0.5,1,3,462,-1
42,0.5,0,2,-1,1599
43,0.5,1,3,336,-1
44,0.5,1,3,499,-1
45,0.5,0,2,-1,1599
46,0.5,1,3,336,-1
47,0.5,1,3,490,-1
48,0.5,0,1,-1,645
49,0.5,1,3,321,-1
50,0.5,1,3,461,-1
1,0.75,1,3,649,-1
2,0.75,1,3,854,-1
3,0.75,0,2,-1,1599
4,0.75,1,3,1245,-1
5,0.75,1,3,462,-1
6,0.75,1,3,1245,-1
7,0.75,0,2,-1,1599
8,0.75,0,1,-1,625
9,0.75,0,1,-1,446
10,0.75,0,1,-1,625
11,0.75,0,2,-1,1599
12,0.75,1,3,649,-1
13,0.75,0,1,-1,625
14,0.75,0,1,-1,446
15,0.75,0,1,-1,446
16,0.75,1,3,462,-1
17,0.75,0,2,-1,1599
18,0.75,0,1,-1,446
19,0.75,0,1,-1,446
20,0.75,0,1,-1,625
21,0.75,1,3,705,-1
22,0.75,1,3,555,-1
23,0.75,1,3,1245,-1
24,0.75,1,3,462,-1
25,0.75,0,2,-1,1599
26,0.75,0,1,-1,446
27,0.75,1,3,649,-1
28,0.75,1,3,462,-1
29,0.75,1,3,649,-1
30,0.75,1,3,705,-1
31,0.75,1,3,555,-1
32,0.75,1,3,854,-1
33,0.75,1,3,462,-1
34,0.75,0,2,-1,1599
35,0.75,1,3,1245,-1
36,0.75,1,3,555,-1
37,0.75,1,3,854,-1
38,0.75,0,1,-1,625
39,0.75,0,1,-1,446
40,0.75,1,3,1245,-1
41,0.75,0,1,-1,446
42,0.75,1,3,462,-1
43,0.75,1,3,705,-1
44,0.75,1,3,462,-1
45,0.75,0,2,-1,1599
46,0.75,1,3,649,-1
47,0.75,1,3,1245,-1
48,0.75,1,3,1245,-1
49,0.75,1,3,649,-1
50,0.75,1,3,705,-1
1,0.9,1,3,336,-1
2,0.9,1,3,1245,-1
3,0.9,1,3,336,-1
4,0.9,1,3,462,-1
5,0.9,0,1,-1,618
6,0.9,1,3,1097,-1
7,0.9,0,1,-1,1132
8,0.9,0,1,-1,618
9,0.9,0,1,-1,64
10,0.9,0,1,-1,618
11,0.9,1,3,861,-1
12,0.9,0,1,-1,618
13,0.9,0,1,-1,618
14,0.9,1,3,1245,-1
15,0.9,0,1,-1,64
16,0.9,1,3,336,-1
17,0.9,1,3,861,-1
18,0.9,1,3,344,-1
19,0.9,1,3,336,-1
20,0.9,1,3,336,-1
21,0.9,1,3,861,-1
22,0.9,1,3,336,-1
23,0.9,1,3,462,-1
24,0.9,1,3,344,-1
25,0.9,0,1,-1,64
26,0.9,0,1,-1,92
27,0.9,0,1,-1,1132
28,0.9,1,3,462,-1
29,0.9,1,3,462,-1
30,0.9,0,1,-1,92
31,0.9,1,3,336,-1
32,0.9,0,1,-1,64
33,0.9,1,3,336,-1
34,0.9,0,1,-1,1132
35,0.9,1,3,344,-1
36,0.9,1,3,1097,-1
37,0.9,1,3,1097,-1
38,0.9,1,3,336,-1
39,0.9,1,3,462,-1
40,0.9,1,3,722,-1
41,0.9,1,3,722,-1
42,0.9,1,3,1097,-1
43,0.9,1,3,336,-1
44,0.9,1,3,1245,-1
45,0.9,0,1,-1,618
46,0.9,1,3,344,-1
47,0.9,0,1,-1,618
48,0.9,1,3,1097,-1
49,0.9,0,1,-1,618
50,0.9,1,3,1097,-1
1,1.0,0,2,-1,1237
2,1.0,1,3,698,-1
3,1.0,1,3,1106,-1
4,1.0,0,1,-1,615
5,1.0,0,1,-1,615
6,1.0,0,2,-1,1599
7,1.0,0,1,-1,615
8,1.0,0,1,-1,615
9,1.0,0,1,-1,615
10,1.0,1,3,1106,-1
11,1.0,0,2,-1,1599
12,1.0,1,3,1106,-1
13,1.0,1,3,1106,-1
14,1.0,0,2,-1,1237
15,1.0,0,2,-1,1599
16,1.0,0,1,-1,615
17,1.0,1,3,216,-1
18,1.0,1,3,649,-1
19,1.0,0,2,-1,1599
20,1.0,1,3,216,-1
21,1.0,1,3,216,-1
22,1.0,1,3,462,-1
23,1.0,1,3,216,-1
24,1.0,1,3,1245,-1
25,1.0,1,3,649,-1
26,1.0,1,3,698,-1
27,1.0,0,2,-1,1599
28,1.0,0,1,-1,615
29,1.0,1,3,1106,-1
30,1.0,1,3,216,-1
31,1.0,0,1,-1,615
32,1.0,1,3,462,-1
33,1.0,0,2,-1,1599
34,1.0,1,3,649,-1
35,1.0,0,1,-1,615
36,1.0,0,2,-1,1599
37,1.0,0,2,-1,1599
38,1.0,0,1,-1,615
39,1.0,1,3,462,-1
40,1.0,1,3,462,-1
41,1.0,0,2,-1,1237
42,1.0,1,3,649,-1
43,1.0,1,3,698,-1
44,1.0,1,3,216,-1
45,1.0,1,3,698,-1
46,1.0,1,3,1245,-1
47,1.0,1,3,1245,-1
48,1.0,1,3,216,-1
49,1.0,0,1,-1,615
50,1.0,0,1,-1,615
